
time="2023-04-15 15:19:52" level=info msg="this is  日志"
time="2023-04-15 15:21:35" level=info msg="this is  日志"
time="2023-04-16 14:24:43" level=info msg="| 200 |  968.062011ms |  192.168.96.128 | GET | /cloudflare/dns/chsujaikmkhlsj.com"
time="2023-04-16 15:19:09" level=info msg="| 200 |   4.58934674s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 15:19:14" level=info msg="| 200 |  4.582884289s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 15:19:22" level=info msg="| 200 |  4.311511999s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 15:19:28" level=info msg="| 200 |  4.248059222s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 15:19:32" level=info msg="| 200 |  5.243051766s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 15:20:02" level=info msg="| 200 |   4.90122061s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 15:42:57" level=info msg="| 200 |     171.561µs |  192.168.96.128 | GET | /im"
time="2023-04-16 15:43:21" level=info msg="| 200 |    7.707383ms |  192.168.96.128 | GET | /im"
time="2023-04-16 15:43:27" level=info msg="| 200 |  436.242888ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 15:44:16" level=info msg="| 200 |  1.465920625s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-16 15:44:19" level=info msg="| 200 |  1.726450048s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-04"
time="2023-04-16 15:44:37" level=info msg="| 200 |     5.17974ms |  192.168.96.128 | GET | /airborne"
time="2023-04-16 15:44:38" level=info msg="| 200 |     6.78958ms |  192.168.96.128 | GET | /im"
time="2023-04-16 15:44:47" level=info msg="| 200 |  1.401396394s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-16 15:44:50" level=info msg="| 200 |  1.691169816s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-04"
time="2023-04-16 15:45:10" level=info msg="| 200 |  1.903147254s |  192.168.96.128 | POST | /asiacloud/vhost/my101-site-04"
time="2023-04-16 15:45:16" level=info msg="| 200 |    2.688304ms |  192.168.96.128 | GET | /im"
time="2023-04-16 15:45:20" level=info msg="| 200 |   392.32615ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 15:45:49" level=info msg="| 200 |  629.189948ms |  192.168.96.128 | POST | /im/line/17"
time="2023-04-16 15:45:53" level=info msg="| 200 |   378.99926ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 15:46:30" level=info msg="| 200 |    6.233178ms |  192.168.96.128 | GET | /im"
time="2023-04-16 15:51:32" level=info msg="| 200 |     5.97686ms |  192.168.96.128 | POST | /login"
time="2023-04-16 16:19:07" level=info msg="| 200 |    4.597089ms |  192.168.96.128 | POST | /login"
time="2023-04-16 16:38:09" level=info msg="| 200 |    3.935547ms |  192.168.96.128 | GET | /system/user"
time="2023-04-16 16:39:18" level=info msg="| 200 |    3.386932ms |  192.168.96.128 | POST | /login"
time="2023-04-16 16:41:18" level=info msg="| 200 |  4.566448822s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 16:45:27" level=info msg="| 200 |    6.474441ms |  192.168.96.128 | GET | /im"
time="2023-04-16 16:45:28" level=info msg="| 200 |     5.07161ms |  192.168.96.128 | GET | /airborne"
time="2023-04-16 16:45:29" level=info msg="| 200 |     3.91777ms |  192.168.96.128 | GET | /im"
time="2023-04-16 16:45:29" level=info msg="| 200 |    4.584625ms |  192.168.96.128 | GET | /airborne"
time="2023-04-16 16:45:31" level=info msg="| 200 |  1.429254582s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-16 16:45:36" level=info msg="| 200 |  4.537838236s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 16:47:34" level=info msg="| 200 |  4.488290349s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 16:47:39" level=info msg="| 200 |  1.396287715s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-16 16:47:43" level=info msg="| 200 |  2.757845276s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-04"
time="2023-04-16 16:47:45" level=info msg="| 200 |  1.735403273s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-05"
time="2023-04-16 16:47:49" level=info msg="| 200 |  1.867056533s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-03"
time="2023-04-16 16:47:59" level=info msg="| 200 |  4.214119453s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 16:48:01" level=info msg="| 200 |   567.17629ms |  192.168.96.128 | GET | /aliyun"
